"","variety","price","winery","taster_name","title"
"1375","Tempranillo Blend",15,"Aldonia","Michael Schachner","Aldonia 2012 Vendimia  (Rioja)"
"1376","Port",15,"Poças","Roger Voss","Poças NV Poças Pink  (Port)"
"1377","Seyval Blanc",9,"Augusta Winery","Unknown","Augusta Winery 2008 Seyval Blanc (Augusta)"
"1378","Muscat Canelli",8,"Messina Hof","Unknown","Messina Hof 2009 Muscat Canelli (Texas)"
"1379","Zinfandel",75,"Pahrump Valley Winery","Unknown","Pahrump Valley Winery 2005 Nevada Ridge First Crush Zinfandel (Nevada)"
"1380","Sangiovese",23,"Three Fox","Unknown","Three Fox 2007 Il Volpe Sangiovese (Virginia)"
"1381","Syrah",13,"Chateau Ste. Michelle","Paul Gregutt","Chateau Ste. Michelle 2006 Syrah (Columbia Valley (WA))"
"1382","Barbera",22,"Easton","Unknown","Easton 2007 Cooper Ranch Barbera (Shenandoah Valley (CA))"
"1383","Cabernet Franc",32,"Gilbert Cellars","Paul Gregutt","Gilbert Cellars 2007 Cabernet Franc (Wahluke Slope)"
"1384","Pinot Noir",37,"Archery Summit","Paul Gregutt","Archery Summit 2004 Premier Cuvée Pinot Noir (Dundee Hills)"
"1385","Cabernet Merlot",29,"Leeuwin Estate","Joe Czerwinski","Leeuwin Estate 2003 Prelude Vineyards Cabernet Merlot (Margaret River)"
"1386","Cabernet Sauvignon",37,"Pearson Vineyards","Joe Czerwinski","Pearson Vineyards 2005 Cabernet Sauvignon (Clare Valley)"
"1387","Tempranillo",25,"Campos Góticos","Michael Schachner","Campos Góticos 2003 Crianza  (Ribera del Duero)"
"1388","White Blend",29,"Abbazia Santa Anastasia","Unknown","Abbazia Santa Anastasia 2006 Sinestesìa White (Sicilia)"
"1389","White Blend",42,"Abbazia Santa Anastasia","Unknown","Abbazia Santa Anastasia 2006 Baccante White (Sicilia)"
"1390","Barbera",35,"French Hill","Unknown","French Hill 2005 Grand Reserve Barbera (Sierra Foothills)"
"1391","Tempranillo-Cabernet Sauvignon",29,"Vitis Terrarum","Michael Schachner","Vitis Terrarum 2003 Tempranillo-Cabernet Sauvignon (Vino de la Tierra de Castilla)"
"1392","Cabernet Sauvignon-Merlot",24,"Vasse River","Joe Czerwinski","Vasse River 2004 Cabernet Sauvignon-Merlot (Margaret River)"
"1393","Bordeaux-style Red Blend",23,"Château le Pey","Roger Voss","Château le Pey 2014  Médoc"
"1394","Zinfandel",19,"Opolo","Matt Kettmann","Opolo 2014 Summit Creek Zinfandel (Paso Robles)"
"1395","Shiraz",22,"Henry's Drive Vignerons","Joe Czerwinski","Henry's Drive Vignerons 2013 Pillar Box Shiraz (Padthaway)"
"1396","Aglianico",43,"Dubl","Kerin O’Keefe","Dubl NV Rosé Brut Metodo Classico Aglianico (Vino Spumante)"
"1397","Albariño",21,"Granbazán","Michael Schachner","Granbazán 2015 Etiqueta Ámbar Albariño (Rías Baixas)"
"1398","Grenache Blanc",36,"Domaine Cazes","Lauren Buzzeo","Domaine Cazes 1996 Ambré Grenache Blanc (Rivesaltes)"
"1399","Tinta de Toro",90,"Pictor","Michael Schachner","Pictor 2008  Toro"
"1400","Zweigelt",13,"Scheiblhofer","Roger Voss","Scheiblhofer 2010 Andau Zweigelt (Burgenland)"
"1401","Pinot Gris",33,"Jean-Marc Bernhard","Roger Voss","Jean-Marc Bernhard 2010 Furstentum Grand Cru Pinot Gris (Alsace)"
"1402","Tempranillo",52,"Matarromera","Michael Schachner","Matarromera 2006 Reserva  (Ribera del Duero)"
"1403","Sauvignon Blanc-Semillon",37,"DeLille","Paul Gregutt","DeLille 2011 Chaleur Estate Blanc Sauvignon Blanc-Semillon (Columbia Valley (WA))"
"1404","Cabernet Sauvignon",33,"Forgeron","Paul Gregutt","Forgeron 2009 Cabernet Sauvignon (Columbia Valley (WA))"
"1405","Tempranillo",100,"Alidis","Michael Schachner","Alidis 2009 VS  (Ribera del Duero)"
"1406","Petite Sirah",38,"Turley","Unknown","Turley 2010 Library Vineyard Petite Sirah (Napa Valley)"
"1407","Arinto",17,"Coteaux da Murta","Roger Voss","Coteaux da Murta 2013 Quinta da Murta Arinto (Bucelas)"
"1408","Montepulciano",20,"La Valentina","Kerin O’Keefe","La Valentina 2012 Spelt Riserva  (Montepulciano d'Abruzzo)"
"1409","Sparkling Blend",17,"Mas Pere","Michael Schachner","Mas Pere NV Rosado Sparkling (Cava)"
"1410","Sangiovese",19,"Monte Volpe","Jim Gordon","Monte Volpe 2013 Sangiovese (Mendocino County)"
"1411","Grenache Blanc",32,"Rôtie Cellars","Sean P. Sullivan","Rôtie Cellars 2015 Grenache Blanc (Washington)"
"1412","Aragonez",NA,"Sanguinhal","Roger Voss","Sanguinhal 2010 Aragonez (Lisboa)"
"1413","Barbera",18,"Terra d'Oro","Jim Gordon","Terra d'Oro 2014 Barbera (Amador County)"
"1414","Gamay",25,"Yohan Lardy","Roger Voss","Yohan Lardy 2015 Les Michelons  (Moulin-à-Vent)"
"1415","Gewürztraminer",27,"Analemma","Sean P. Sullivan","Analemma 2014 Atavus Vineyard Gewürztraminer (Columbia Gorge (WA))"
"1416","Pinot Noir",164,"Joseph Drouhin","Roger Voss","Joseph Drouhin 2008  Charmes-Chambertin"
"1417","Bordeaux-style White Blend",36,"DeLille","Paul Gregutt","DeLille 2009 Chaleur Estate Blanc White (Columbia Valley (WA))"
"1418","Red Blend",49,"Benanti","Unknown","Benanti 2006 Serra della Contessa Red (Sicilia)"
"1419","Roussanne",25,"Maison Bleue","Paul Gregutt","Maison Bleue 2009 Soleil Roussanne (Yakima Valley)"
"1420","Pinot Noir",190,"Chanson Père et Fils","Roger Voss","Chanson Père et Fils 2008  Charmes-Chambertin"
"1421","Pinot Noir",205,"Chanson Père et Fils","Roger Voss","Chanson Père et Fils 2008  Clos de Vougeot"
"1422","Chardonnay",145,"Domaine Leflaive","Roger Voss","Domaine Leflaive 2008 Clavoillon Premier Cru  (Puligny-Montrachet)"
"1423","Pinot Noir",89,"Joseph Drouhin","Roger Voss","Joseph Drouhin 2008 Clos des Mouches Premier Cru  (Beaune)"
"1424","Merlot-Cabernet Franc",40,"Buty","Paul Gregutt","Buty 2009 Merlot-Cabernet Franc (Columbia Valley (WA))"
"1425","Shiraz-Viognier",105,"Torbreck","Joe Czerwinski","Torbreck 2007 Descendant Shiraz-Viognier (Barossa Valley)"
"1426","Sauvignon Blanc-Semillon",17,"Beringer","Unknown","Beringer 2008 Alluvium Blanc Sauvignon Blanc-Semillon (Knights Valley)"
"1427","Corvina, Rondinella, Molinara",16,"Gamba","Unknown","Gamba 2007 Le Quare  (Valpolicella Classico Superiore Ripasso)"
"1428","Pinot Grigio",11,"Hogue","Paul Gregutt","Hogue 2009 Pinot Grigio (Columbia Valley (WA))"
"1429","Corvina, Rondinella, Molinara",22,"Brigaldara","Unknown","Brigaldara 2007 Il Vegro  (Valpolicella Classico Superiore Ripasso)"
"1430","Corvina, Rondinella, Molinara",55,"Latium di Morini","Unknown","Latium di Morini 2005 Campo Leòn  (Amarone della Valpolicella)"
"1431","Corvina, Rondinella, Molinara",35,"Luigi Righetti","Unknown","Luigi Righetti 2006 Capitel de' Roari  (Amarone della Valpolicella Classico)"
"1432","Corvina, Rondinella, Molinara",50,"Monte del Frá","Unknown","Monte del Frá 2005 Tenuta Lena di Mezzo  (Amarone della Valpolicella Classico)"
"1433","Corvina, Rondinella, Molinara",44,"Musella","Unknown","Musella 2005 Riserva  (Amarone della Valpolicella)"
"1434","Shiraz",26,"Penfolds","Joe Czerwinski","Penfolds 2007 Bin 128 Shiraz (Coonawarra)"
"1435","Bordeaux-style Red Blend",145,"Ridge","Unknown","Ridge 2007 California Monte Bello Red (Santa Cruz Mountains)"
"1436","Sparkling Blend",30,"Dopff & Irion","Roger Voss","Dopff & Irion NV Cuvée Prestige Brut Sparkling (Crémant d'Alsace)"
"1437","Pinot Gris",NA,"Rieflé","Roger Voss","Rieflé 2006 Pinot Gris Bonheur Convivial Pinot Gris (Alsace)"
"1438","Carmenère",49,"Casa Silva","Michael Schachner","Casa Silva 2005 Microterroir de los Lingues Carmenère (Colchagua Valley)"
"1439","Syrah-Petite Sirah",35,"Clayhouse","Unknown","Clayhouse 2011 Red Cedar Vineyard Estate Syrah-Petite Sirah (Paso Robles)"
"1440","Grenache-Syrah",52,"Dilecta","Unknown","Dilecta 2011 The Tiller Caliza Vineyard Russell Family Vineyards Grenache-Syrah (Paso Robles)"
"1441","Touriga Nacional",28,"Vinemark","Unknown","Vinemark 2010 Touriga Nacional (Paso Robles)"
"1442","Pinot Blanc",15,"Wetzel Estate","Paul Gregutt","Wetzel Estate 2011 Estate Pinot Blanc (Willamette Valley)"
"1443","Primitivo",32,"Vinemark","Unknown","Vinemark 2009 Primitivo (Paso Robles)"
"1444","Zinfandel",8,"Woodbridge by Robert Mondavi","Unknown","Woodbridge by Robert Mondavi 2012 Zinfandel (California)"
"1445","Shiraz",17,"Wildberry Estate","Joe Czerwinski","Wildberry Estate 2005 Shiraz (Margaret River)"
"1446","Grüner Veltliner",25,"Steininger","Roger Voss","Steininger 2006 Brut Grüner Veltliner (Kamptal)"
"1447","Meritage",30,"Murrieta's Well","Unknown","Murrieta's Well 2004 Meritage (Livermore Valley)"
"1448","Pinot Noir",41,"Bouchard Aîné & Fils","Roger Voss","Bouchard Aîné & Fils 2005 Les Marconnets Premier Cru  (Beaune)"
"1449","Syrah",30,"Whitman Cellars","Paul Gregutt","Whitman Cellars 2005 Syrah (Walla Walla Valley (WA))"
"1450","Tempranillo",22,"Torres","Michael Schachner","Torres 2005 Celeste Crianza  (Ribera del Duero)"
"1451","Cabernet Blend",30,"Viña Alicia","Michael Schachner","Viña Alicia 2008 Morena Red (Luján de Cuyo)"
"1452","Muscat",NA,"Bott Frères","Roger Voss","Bott Frères 2010 Cuvée Particulière Muscat (Alsace)"
"1453","Glera",18,"Ca' dei Zago","Unknown","Ca' dei Zago 2010 Col Fondo  (Prosecco)"
"1454","Glera",16,"Carpenè Malvolti","Unknown","Carpenè Malvolti NV Cuvée Brut  (Conegliano Valdobbiadene Prosecco Superiore)"
"1455","Glera",NA,"Giavi","Unknown","Giavi 2011 Prima Volta Millesimato Dry  (Conegliano Valdobbiadene Prosecco Superiore)"
"1456","Glera",5,"Anna Spinato","Unknown","Anna Spinato NV Mini  (Prosecco)"
"1457","Glera",19,"Bellenda","Unknown","Bellenda 2011 Miraval Millesimato Extra Dry  (Conegliano Valdobbiadene Prosecco Superiore)"
"1458","Glera",15,"Bianca Vigna","Unknown","Bianca Vigna 2011 Millesimato Brut  (Conegliano Valdobbiadene Prosecco Superiore)"
"1459","Red Blend",38,"Hess Collection","Virginie Boone","Hess Collection 2013 19 Block Mountain Cuvée Red (Mount Veeder)"
"1460","Sparkling Blend",42,"Iron Horse","Virginie Boone","Iron Horse 2011 Russian Cuvée Sparkling (Green Valley)"
"1461","Rhône-style Red Blend",12,"Now Presenting...","Matt Kettmann","Now Presenting... 2014 Red (Paso Robles)"
"1462","Viognier",90,"Jean-Luc Colombo","Joe Czerwinski","Jean-Luc Colombo 2013 Amour de Dieu  (Condrieu)"
"1463","Grüner Veltliner",30,"Steininger","Anne Krebiehl MW","Steininger 2015 Grand Grü Reserve Grüner Veltliner (Kamptal)"
"1464","St. Laurent",25,"Stift Klosterneuburg","Anne Krebiehl MW","Stift Klosterneuburg 2014 Ausstich St. Laurent (Thermenregion)"
"1465","Gamay",21,"Terroirs et Talents","Roger Voss","Terroirs et Talents 2015 Clos de la Brosse  (Saint-Amour)"
"1466","Merlot",400,"Tua Rita","Kerin O’Keefe","Tua Rita 2013 Redigaffi Merlot (Toscana)"
"1467","Sangiovese",60,"Cerbaia","Kerin O’Keefe","Cerbaia 2011  Brunello di Montalcino"
"1468","Maturana",45,"Bodegas Valdemar","Michael Schachner","Bodegas Valdemar 2005 Inspiración  (Rioja)"
"1469","Gewürztraminer",38,"Cantina Produttori San Michele Appiano","Unknown","Cantina Produttori San Michele Appiano 2011 Sanct Valentin Gewürztraminer (Alto Adige)"
"1470","Zinfandel",21,"Carol Shelton","Virginie Boone","Carol Shelton 2009 Monga Zin, Lopez Vineyard Zinfandel (Cucamonga Valley)"
"1471","Garnacha",40,"Casa Rojo","Michael Schachner","Casa Rojo 2009 Fauno Organic Grapes Garnacha (Priorat)"
"1472","Bordeaux-style Red Blend",60,"Château de la Croix","Roger Voss","Château de la Croix 2009  Médoc"
"1473","Tempranillo",75,"Real Sitio de Ventosilla","Michael Schachner","Real Sitio de Ventosilla 2004 RSV 1601 El Duque de Lerma  (Ribera del Duero)"
"1474","Pecorino",19,"Talamonti","Unknown","Talamonti 2012 Trabocchetto Pecorino (Colline Pescaresi)"
"1475","G-S-M",60,"The Farm Winery","Unknown","The Farm Winery 2009 Touchy-Feely G-S-M (Paso Robles)"
"1476","Sangiovese",21,"Tre Monti","Unknown","Tre Monti 2009 Thea Riserva  (Sangiovese di Romagna Superiore)"
"1477","Albariño",17,"Val do Sosego","Michael Schachner","Val do Sosego 2011 Albariño (Rías Baixas)"
"1478","G-S-M",35,"J. Lohr","Unknown","J. Lohr 2010 Gesture G-S-M (Paso Robles)"
"1479","Rotgipfler",20,"Johanneshof Reinisch","Roger Voss","Johanneshof Reinisch 2012 Rotgipfler (Thermenregion)"
"1480","Merlot",19,"Parcel 41","Unknown","Parcel 41 2011 Merlot (Napa Valley)"
"1481","Primitivo",30,"Cana's Feast","Sean P. Sullivan","Cana's Feast 2013 Northridge Vineyard Primitivo (Columbia Valley (WA))"
"1482","Champagne Blend",56,"Liebart-Régnier","Roger Voss","Liebart-Régnier NV Brut  (Champagne)"
"1483","Sangiovese",18,"Viticoltori Senesi Aretini","Kerin O’Keefe","Viticoltori Senesi Aretini 2009 Riserva  (Chianti)"
"1484","Red Blend",31,"Mannucci Droandi","Kerin O’Keefe","Mannucci Droandi 2009 Ceppeto Riserva  (Chianti Classico)"
"1485","Zinfandel",55,"Rosenblum","Virginie Boone","Rosenblum 2012 Winemaker Selection Zinfandel (Sonoma County)"
"1486","Sangiovese",13,"Travignoli","Kerin O’Keefe","Travignoli 2013  Chianti Rufina"
"1487","Tinta de Toro",15,"Matsu","Michael Schachner","Matsu 2013 El Picaro  (Toro)"
"1488","Bordeaux-style White Blend",14,"Château Buisson-Redon","Roger Voss","Château Buisson-Redon 2014  Bordeaux Blanc"
"1489","Moscato",25,"St. Supéry","Virginie Boone","St. Supéry 2014 Estate Grown Moscato (Napa Valley)"
"1490","Arinto",10,"Companhia das Quintas","Roger Voss","Companhia das Quintas 2007 Prova Régia Arinto (Bucelas)"
"1491","Insolia",18,"Cusumano","Unknown","Cusumano 2007 Cubìa Insolia (Sicilia)"
"1492","Touriga Nacional",10,"DFJ Vinhos","Roger Voss","DFJ Vinhos 2007 Casa do Lago Rosé Touriga Nacional (Estremadura)"
"1493","Nero d'Avola",28,"Tasca d'Almerita","Unknown","Tasca d'Almerita 2006 Lamùri Nero d'Avola (Sicilia)"
"1494","Portuguese Red",14,"J. Portugal Ramos","Roger Voss","J. Portugal Ramos 2007 Marquês de Borba Red (Alentejo)"
"1495","Greco",24,"Mastroberardino","Unknown","Mastroberardino 2007  Greco di Tufo"
"1496","Malbec",46,"Melipal","Michael Schachner","Melipal 2006 Reserve Malbec (Mendoza)"
"1497","Nero d'Avola",21,"Fazio","Unknown","Fazio 2005 Torre dei Venti Nero d'Avola (Sicilia)"
"1498","Shiraz",24,"Gemtree","Joe Czerwinski","Gemtree 2006 Uncut Shiraz (McLaren Vale)"
"1499","Falanghina",18,"Alberto Longo","Unknown","Alberto Longo 2007 Le Fossette Falanghina (Puglia)"
"1500","Cabernet Blend",55,"Corley","Unknown","Corley 2004 Proprietary Red Wine Red (Oak Knoll District)"
"1501","Pinotage",13,"Backsberg","Susan Kostrzewa","Backsberg 2005 Pinotage (Coastal Region)"
"1502","Cabernet Sauvignon",27,"Arbios","Unknown","Arbios 2003 Cabernet Sauvignon (Alexander Valley)"
"1503","Prosecco",37,"Bortolomiol","Unknown","Bortolomiol 2005 Brut Millesimato Motus Vitae  (Prosecco di Valdobbiadene)"
"1504","Prugnolo Gentile",19,"Avignonesi","Unknown","Avignonesi 2008  Rosso di Montepulciano"
"1505","Graciano",45,"Valserrano","Michael Schachner","Valserrano 2004  Rioja"
"1506","Pinot Noir",47,"Drew","Unknown","Drew 2009 Morning Dew Vineyard Pinot Noir (Anderson Valley)"
"1507","Verdejo-Viura",9,"Reina de Castilla","Michael Schachner","Reina de Castilla 2009 Isabelino Verdejo-Viura (Rueda)"
"1508","Kinali Yapincak",15,"Suvla","Mike DeSimone","Suvla 2012 Kinali Yapincak (Thrace)"
"1509","Cabernet Franc",18,"King's Garden Vineyards","Anna Lee C. Iijima","King's Garden Vineyards 2010 Cabernet Franc (Finger Lakes)"
"1510","Riesling",31,"Schloss Vollrads","Anna Lee C. Iijima","Schloss Vollrads 2015 Spätlese Riesling (Rheingau)"
"1511","Cabernet Sauvignon",260,"Stag's Leap Wine Cellars","Virginie Boone","Stag's Leap Wine Cellars 2013 Cask 23 Estate Cabernet Sauvignon (Napa Valley)"
"1512","Portuguese Red",48,"Santos & Seixo","Roger Voss","Santos & Seixo 2013 Santos da Casa Grande Reserva Red (Douro)"
"1513","Teroldego",18,"Terra d'Oro","Jim Gordon","Terra d'Oro 2014 Teroldego (Amador County)"
"1514","Pinot Gris",41,"The Eyrie Vineyards","Paul Gregutt","The Eyrie Vineyards 2015 Original Vines Pinot Gris (Dundee Hills)"
"1515","Moscato",16,"Uvaggio","Jim Gordon","Uvaggio 2015 Secco Moscato (Lodi)"
"1516","Portuguese Red",35,"Bulas","Roger Voss","Bulas 2010 Grande Reserva Red (Douro)"
"1517","Riesling",33,"Dr. Heidemanns-Bergweiler","Anna Lee C. Iijima","Dr. Heidemanns-Bergweiler 2015 Bernkasteler Badstube Auslese Riesling (Mosel)"
"1518","Riesling",92,"Dr. Loosen","Anna Lee C. Iijima","Dr. Loosen 2012 Ürziger Würzgarten GG Réserve Alte Reben Erste Lage Dry Riesling (Mosel)"
"1519","Syrah",48,"Proper","Sean P. Sullivan","Proper 2014 Estate Syrah (Walla Walla Valley (WA))"
"1520","Portuguese Red",60,"Quinta da Zaralhôa","Roger Voss","Quinta da Zaralhôa 2008 Reserva Red (Douro)"
"1521","Portuguese Red",31,"Ramos-Pinto","Roger Voss","Ramos-Pinto 2014 Duas Quintas Reserva Red (Douro)"
"1522","Verdejo",9,"Vicente Gandia","Michael Schachner","Vicente Gandia 2014 Hoya de Cadenas Organic Verdejo (Spain)"
"1523","Xarel-lo",14,"Albet I Noya","Michael Schachner","Albet I Noya 2014 XA Xarel-lo (Penedès)"
"1524","Portuguese Red",25,"Wine with Spirit","Roger Voss","Wine with Spirit 2013 Bastardo! Black Edition Tinto Red (Tejo)"
"1525","Albariño",60,"Pazo de Barrantes","Michael Schachner","Pazo de Barrantes 2012 La Comtesse Albariño (Rías Baixas)"
"1526","Cabernet Franc-Carmenère",12,"Tricky Rabbit","Michael Schachner","Tricky Rabbit 2012 Reserva Cabernet Franc-Carmenère (Maule Valley)"
"1527","Melon",20,"Domaine de la Pepière","Roger Voss","Domaine de la Pepière 2009 Cuvée 3  (Muscadet Sèvre et Maine)"
"1528","Pinot Noir",39,"Reustle","Paul Gregutt","Reustle 2013 Winemaker's Reserve Pinot Noir (Umpqua Valley)"
"1529","Monastrell-Syrah",24,"Chopo","Michael Schachner","Chopo 2014 Monastrell-Syrah (Jumilla)"
"1530","Grenache",28,"Milbrandt","Sean P. Sullivan","Milbrandt 2012 Vineyard Series Clifton Vineyards Grenache (Wahluke Slope)"
"1531","G-S-M",22,"MooBuzz","Matt Kettmann","MooBuzz 2015 G-S-M (Central Coast)"
"1532","Syrah",72,"Proulx","Matt Kettmann","Proulx 2014 The Wah Syrah (Paso Robles)"
"1533","Portuguese Red",39,"Quinta Dona Matilde","Roger Voss","Quinta Dona Matilde 2013 Dona Matilde Reserva Red (Douro)"
"1534","Petite Sirah",14,"Greystone Cellars","Jim Gordon","Greystone Cellars 2014 Petite Sirah (California)"
"1535","Pinot Noir",21,"Riposte","Joe Czerwinski","Riposte 2015 The Dagger Pinot Noir (Adelaide Hills)"
"1536","Viognier",10,"Domaine de Gournier","Joe Czerwinski","Domaine de Gournier 2008 Viognier (Vin de Pays des Cévennes)"
"1537","Meritage",48,"Kings Mountain","Unknown","Kings Mountain 2006 Meritage (Santa Cruz Mountains)"
"1538","Nebbiolo",29,"Vinchio-Vaglio Serra","Unknown","Vinchio-Vaglio Serra 2003 Cantina Tre Serre  (Barbaresco)"
"1539","Tempranillo Blend",60,"Marqués de Vargas","Michael Schachner","Marqués de Vargas 2005 Reserva Privada  (Rioja)"
"1540","Rhône-style White Blend",15,"Marrenon","Joe Czerwinski","Marrenon 2008 Grand Cuvée White (Luberon)"
"1541","Bordeaux-style Red Blend",67,"Château Vray Croix de Gay","Roger Voss","Château Vray Croix de Gay 2007  Pomerol"
"1542","Corvina, Rondinella, Molinara",20,"Monte del Frá","Unknown","Monte del Frá 2008 Tenuta Lena di Mezzo  (Valpolicella Classico Superiore Ripasso)"
"1543","Corvina, Rondinella, Molinara",25,"Novaia","Unknown","Novaia 2008  Valpolicella Classico Superiore Ripasso"
"1544","Sparkling Blend",33,"Sparkling Pointe","Anna Lee C. Iijima","Sparkling Pointe 2007 Topaz Imperial Sparkling (North Fork of Long Island)"
"1545","Corvina, Rondinella, Molinara",65,"Giuseppe Lonardi","Unknown","Giuseppe Lonardi 2007  Amarone della Valpolicella Classico"
"1546","Sparkling Blend",14,"Korbel","Jim Gordon","Korbel NV Sweet Cuvée Sparkling (California)"
"1547","Champagne Blend",35,"Lété-Vautrain","Roger Voss","Lété-Vautrain NV Brut Royal Rosé  (Champagne)"
"1548","Grenache",55,"Nicora","Matt Kettmann","Nicora 2014 Euphoric La Vista Vineyard Grenache (Adelaida District)"
"1549","Grenache",30,"Ocelli","Sean P. Sullivan","Ocelli 2012 Grenache (Columbia Valley (WA))"
"1550","Meritage",40,"One Iron","Virginie Boone","One Iron 2012 Meritage (Napa Valley)"
"1551","Vernaccia",22,"Fattoria La Vialla","Kerin O’Keefe","Fattoria La Vialla 2014 Riserva  (Vernaccia di San Gimignano)"
"1552","Magliocco",NA,"Ferrocinto","Kerin O’Keefe","Ferrocinto 2015 Pollino Magliocco (Calabria)"
"1553","Pinot Noir",59,"Acacia","Virginie Boone","Acacia 2014 Lone Tree Vineyard Estate Grown Pinot Noir (Carneros)"
"1554","Champagne Blend",24,"Baron-Fuenté","Roger Voss","Baron-Fuenté NV Grande Réserve Brut  (Champagne)"
"1555","Malbec",62,"Cass","Matt Kettmann","Cass 2013 Malbec (Paso Robles)"
"1556","Sangiovese",27,"Celli","Kerin O’Keefe","Celli 2013 Bron& Ruseval Riserva Sangiovese (Romagna)"
"1557","Champagne Blend",45,"Collet","Roger Voss","Collet NV Brut Art Déco  (Champagne)"
"1558","Aglianico",26,"D'Aione","Kerin O’Keefe","D'Aione 2010  Taurasi"
"1559","Aglianico",22,"D'Angelo","Kerin O’Keefe","D'Angelo 2014  Aglianico del Vulture"
"1560","Zweigelt",25,"Glatzer","Roger Voss","Glatzer 2011 Rubin Carnuntum Zweigelt (Carnuntum)"
"1561","Bordeaux-style Red Blend",39,"Château Lamothe-Cissac","Roger Voss","Château Lamothe-Cissac 2011 Vieilles Vignes  (Haut-Médoc)"
"1562","Nebbiolo",120,"Giuseppe Rinaldi","Kerin O’Keefe","Giuseppe Rinaldi 2009 Brunate Le Coste  (Barolo)"
"1563","Nebbiolo",44,"Guido Porro","Kerin O’Keefe","Guido Porro 2009 Vigna Lazzairasco  (Barolo)"
"1564","Blaufränkisch",38,"Kollwentz","Roger Voss","Kollwentz 2009 Leithagebirge Blaufränkisch (Burgenland)"
"1565","Gamay Noir",25,"Chehalem","Paul Gregutt","Chehalem 2015 Ridgecrest Vineyards Gamay Noir (Ribbon Ridge)"
"1566","Grenache",32,"Clos La Chance","Matt Kettmann","Clos La Chance 2013 Reserve Grenache (Central Coast)"
"1567","Nero d'Avola",17,"Colosi","Kerin O’Keefe","Colosi 2016 Nero d'Avola (Terre Siciliane)"
"1568","Nero d'Avola",15,"Curto","Kerin O’Keefe","Curto 2014 Nero d'Avola (Eloro)"
"1569","Port",20,"Delaforce","Roger Voss","Delaforce 2011 Late Bottled Vintage  (Port)"
"1570","Nero d'Avola",20,"Tasca d'Almerita","Kerin O’Keefe","Tasca d'Almerita 2015 Lamùri Nero d'Avola (Sicilia)"
"1571","Portuguese White",26,"Caves Transmontanas","Roger Voss","Caves Transmontanas 2014 Vertice Grande Reserva Branco White (Douro)"
"1572","Cabernet Franc",29,"Château de Parnay","Roger Voss","Château de Parnay 2014 Le Clos du Château de Parnay  (Saumur-Champigny)"
"1573","Rhône-style Red Blend",22,"Le Mas de Bertrand","Lauren Buzzeo","Le Mas de Bertrand 2008 Le Cinq Montpeyroux Red (Coteaux du Languedoc)"
"1574","Petite Sirah",20,"Thurston Wolfe","Paul Gregutt","Thurston Wolfe 2008 Petite Sirah (Horse Heaven Hills)"
"1575","Carmenère",14,"Viu Manent","Michael Schachner","Viu Manent 2010 Secreto Carmenère (Colchagua Valley)"
"1576","Touriga Nacional",20,"Quinta do Cavalinho","Roger Voss","Quinta do Cavalinho 2009 Templários Colheita Seleccionada Touriga Nacional (Tejo)"
"1577","Sparkling Blend",20,"Sieur d'Arques","Lauren Buzzeo","Sieur d'Arques 2007 Toques et Clochers Brut Sparkling (Crémant de Limoux)"
"1578","Portuguese White",24,"Casca Wines","Roger Voss","Casca Wines 2009 Monte Cascas Reserva Branco White (Minho)"
"1579","Sauvignon Gris",14,"Cousiño-Macul","Michael Schachner","Cousiño-Macul 2010 Sauvignon Gris (Maipo Valley)"
"1580","Merlot",37,"Cerro Prieto","Unknown","Cerro Prieto 2008 Reserve Merlot (Paso Robles)"
"1581","Bordeaux-style White Blend",170,"Château Pape Clément","Roger Voss","Château Pape Clément 2011 Barrel Sample  (Pessac-Léognan)"
"1582","Riesling",67,"Emmerich Knoll","Roger Voss","Emmerich Knoll 2006 Ried Schütt Smaragd Riesling (Wachau)"
"1583","Grüner Veltliner",90,"F X Pichler","Roger Voss","F X Pichler 2006 Dürnsteiner Kellerberg Reserve Grüner Veltliner (Wachau)"
"1584","Grüner Veltliner",85,"F X Pichler","Roger Voss","F X Pichler 2006 Dürnsteiner Kellerberg Smaragd Grüner Veltliner (Wachau)"
"1585","Bordeaux-style Red Blend",64,"Felipe Rutini","Michael Schachner","Felipe Rutini 2004 Apartado Red (Mendoza)"
"1586","Moscato",8,"Redtree","Unknown","Redtree 2009 Moscato (California)"
"1587","Barbera",11,"Vinchio-Vaglio Serra","Unknown","Vinchio-Vaglio Serra 2008 Cantina Tre Serre Barbera (Piedmont)"
"1588","Pinot Noir",9,"Lucky Star","Unknown","Lucky Star 2009 Pinot Noir (California)"
"1589","Champagne Blend",90,"Ruinart","Roger Voss","Ruinart NV Brut Rosé  (Champagne)"
"1590","Port",56,"Kopke","Roger Voss","Kopke NV 20-Years-Old Tawny  (Port)"
"1591","Garnacha",27,"Alto Moncayo","Michael Schachner","Alto Moncayo 2010 Veraton Garnacha (Campo de Borja)"
"1592","Champagne Blend",26,"Bailly-Lapierre","Roger Voss","Bailly-Lapierre 2011 Egarade  (Crémant de Bourgogne)"
"1593","Glera",30,"Ca' dei Zago","Kerin O’Keefe","Ca' dei Zago 2012 Dosaggio Zero  (Valdobbiadene Prosecco Superiore)"
"1594","Sparkling Blend",75,"Ca' del Bosco","Kerin O’Keefe","Ca' del Bosco 2009 Vintage Collection Brut Sparkling (Franciacorta)"
