"","variety","winery","region_1","region_2","province","designation","country"
"2831","Red Blend","Don Cristobal 1492","Mendoza","","Mendoza Province","1492","Argentina"
"2832","Cabernet Sauvignon","Finca El Origen","Mendoza","","Mendoza Province","","Argentina"
"2833","Zinfandel","Glen Ellen","California","California Other","California","Old Vine","US"
"2834","Zinfandel","Manzanita Creek","Dry Creek Valley","Sonoma","California","Carreras Ranch","US"
"2835","Pinot Gris","Montepio","San Juan","","Other","","Argentina"
"2836","Red Blend","Notro","Mendoza","","Mendoza Province","Tinto Fundación","Argentina"
"2837","Garnacha","Ochoa","Navarra","","Northern Spain","Rosado","Spain"
"2838","Chardonnay","Starmont","Napa Valley","Napa","California","","US"
"2839","G-S-M","Brophy Clark","Santa Ynez Valley","Central Coast","California","","US"
"2840","Malbec","Caligiore","Mendoza","","Mendoza Province","Organic Legacy Old Vines","Argentina"
"2841","Zinfandel","Cedar Mountain","Livermore Valley","Central Coast","California","Hansen Vineyard Reserve","US"
"2842","Chardonnay","Concannon","Central Coast","Central Coast","California","Selected Vineyards","US"
"2843","Tempranillo-Merlot","Solar de Urbezo","Cariñena","","Northern Spain","Dance Del Mar","Spain"
"2844","Sparkling Blend","Yellow Tail","South Eastern Australia","","Australia Other","Bubbles Sparkling White Wine","Australia"
"2845","Rosé","Adega Cooperativa Ponte de Barca","","","Vinho Verde","Escolha","Portugal"
"2846","Malbec","Pasaje Alto","Mendoza","","Mendoza Province","Andes Crossing","Argentina"
"2847","Red Blend","Figaro","Calatayud","","Northern Spain","Tinto","Spain"
"2848","White Blend","Fattoria di Casalbosco","Vin Santo del Chianti","","Tuscany","500ml","Italy"
"2849","Bordeaux-style Red Blend","Jarvis","Napa Valley","Napa","California","Will Jarvis' Science Project","US"
"2850","Pinot Noir","Kingston Family","","","Casablanca Valley","Alazan CJ's Barrel","Chile"
"2851","Riesling","Loimer","","","Kamptal","Reserve","Austria"
"2852","Cabernet Sauvignon","M by Michael Mondavi","Napa Valley","Napa","California","","US"
"2853","Rhône-style Red Blend","Margerum","Santa Barbara County","Central Coast","California","M5","US"
"2854","Petite Sirah","Pedroncelli","Dry Creek Valley","Sonoma","California","Family Vineyards","US"
"2855","White Blend","Pietro Beconcini","Vin Santo del Chianti","","Tuscany","Caratello","Italy"
"2856","Syrah","Boekenhoutskloof","","","Coastal Region","","South Africa"
"2857","Bordeaux-style Red Blend","Château Cambon la Pelouse","Haut-Médoc","","Bordeaux","","France"
"2858","Bordeaux-style Red Blend","Château Lilian Ladouys","Saint-Estèphe","","Bordeaux","","France"
"2859","Cabernet Sauvignon","Corison","St. Helena","Napa","California","Kronos Vineyard","US"
"2860","Corvina, Rondinella, Molinara","Nicolis","Recioto della Valpolicella Classico","","Veneto","500ml","Italy"
"2861","Chardonnay","Covey Run","Columbia Valley (WA)","Columbia Valley","Washington","Quail Series","US"
"2862","Chardonnay","Bearboat","Russian River Valley","Sonoma","California","","US"
"2863","Pinot Gris","Spy Valley","","","Marlborough","","New Zealand"
"2864","Grüner Veltliner","Jurtschitsch","","","Kamptal","Schenkenbichl","Austria"
"2865","Barbera","Valdinera","Barbera d'Alba Superiore","","Piedmont","","Italy"
"2866","Red Blend","Renato Ratti","Monferrato","","Piedmont","Villa Pattono","Italy"
"2867","Dolcetto","Pertinace","Dolcetto d'Alba","","Piedmont","","Italy"
"2868","Syrah","Seia","Horse Heaven Hills","Columbia Valley","Washington","Alder Creek Vineyard","US"
"2869","Rhône-style White Blend","Kindred","Russian River Valley","Sonoma","California","Marsanne-Roussanne-Viognier","US"
"2870","Sauvignon Blanc","Maddalena","Paso Robles","Central Coast","California","","US"
"2871","Torrontés","Familia Schroeder","Neuquén","","Other","Deseado","Argentina"
"2872","Moscato","Il Falchetto","Moscato d'Asti","","Piedmont","Tenuta Del Fant","Italy"
"2873","Tempranillo","Señorío de Caleruega","Ribera del Duero","","Northern Spain","","Spain"
"2874","Tinta de Toro","Telmo Rodríguez","Toro","","Northern Spain","g Dehesa Gago","Spain"
"2875","Sauvignon Blanc","Breaux","Virginia","","Virginia","","US"
"2876","Cabernet Sauvignon","Chakras","Mendoza","","Mendoza Province","Reserva","Argentina"
"2877","Rosé","Château Henri Bonnaud","Côtes de Provence Sainte-Victoire","","Provence","Terre Promise","France"
"2878","Rosé","Château la Gordonne","Côtes de Provence","","Provence","Verité du Terroir","France"
"2879","Fiano","Contrada Michele","Fiano di Avellino","","Southern Italy","Selvecorte","Italy"
"2880","Malvasia","Coronica","","","Istria","","Croatia"
"2881","Sauvignon Blanc","Dr. Konstantin Frank","Finger Lakes","Finger Lakes","New York","","US"
"2882","Bonarda","Argento","Mendoza","","Mendoza Province","","Argentina"
"2883","Red Blend","Beau Joubert","","","Stellenbosch","The Ambassador","South Africa"
"2884","Sparkling Blend","Llopart","Cava","","Catalonia","Brut Reserva Rosé","Spain"
"2885","Sauvignon Blanc","Maimai","","","Hawke's Bay","","New Zealand"
"2886","Falanghina","Masseria Felicia","Falerno del Massico","","Southern Italy","Anthologia","Italy"
"2887","Plavac Mali","Miloš","","","Peljesac","","Croatia"
"2888","Verdejo-Viura","Pedro Escudero","Vino de la Tierra de Castilla y León","","Northern Spain","Fuente Milano","Spain"
"2889","Chenin Blanc","Raats Family","","","Coastal Region","Original Unwooded","South Africa"
"2890","Chenin Blanc","Radford Dale","","","Stellenbosch","The Renaissance of","South Africa"
"2891","Greco","Sanpaolo","Greco di Tufo","","Southern Italy","","Italy"
"2892","Pinot Noir","Ammunition","Sonoma County","Sonoma","California","","US"
"2893","Sparkling Blend","Cave de Bissey","Crémant de Bourgogne","","Burgundy","Blanc de Blancs Brut","France"
"2894","Cabernet Sauvignon","Damsel","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"2895","Melon","Domaine des Cognettes","Muscadet Sèvre et Maine","","Loire Valley","Les 2 Terres Sur Lie","France"
"2896","Pinot Noir","Domaine Julie Belland","Santenay","","Burgundy","Charmes","France"
"2897","Cabernet Franc","Domaine les Pins","Saint-Nicolas-de-Bourgueil","","Loire Valley","","France"
"2898","Garganega","Fattori","Soave","","Veneto","Runcaris","Italy"
"2899","Garganega","Inama","Soave Classico","","Veneto","Vin Soave","Italy"
"2900","Sparkling Blend","Karma Vineyards","Lake Chelan","Columbia Valley","Washington","Blanc de Noir","US"
"2901","Lemberger","Kiona","Red Mountain","Columbia Valley","Washington","Estate Bottled","US"
"2902","Rosé","Tranche","Yakima Valley","Columbia Valley","Washington","Estate Grown Pink Pape Blackrock Vineyard","US"
"2903","Cabernet Franc","Trust","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"2904","Chardonnay","Whitecliff Vineyard","Hudson River Region","New York Other","New York","Reserve","US"
"2905","Saperavi","Wine Man","","","Kakheti","Mukuzani","Georgia"
"2906","Malbec","Zuccardi","Valle de Uco","","Mendoza Province","Q","Argentina"
"2907","Tannat","Bouza","","","Canelones","B2 Parcela Unica","Uruguay"
"2908","Red Blend","Cecilia Beretta","Amarone della Valpolicella Classico","","Veneto","Terre di Cariano Riserva","Italy"
"2909","Malbec","Chakana","Mendoza","","Mendoza Province","Estate Selection","Argentina"
"2910","Rosé","Kale","Sonoma County","Sonoma","California","","US"
"2911","Sauvignon Blanc","Twomey","Napa County-Sonoma County","Napa-Sonoma","California","","US"
"2912","Red Blend","Ty Caton","Sonoma County","Sonoma","California","EnTycement","US"
"2913","Syrah","W.T. Vintners","Walla Walla Valley (WA)","Columbia Valley","Washington","Damavian Les Collines Vineyard","US"
"2914","Merlot","Waters Crest","North Fork of Long Island","Long Island","New York","Grand Vin","US"
"2915","Rhône-style Red Blend","Miraflores","El Dorado","Sierra Foothills","California","Clone 877.4.369.362","US"
"2916","Chardonnay","Ridgeview Estate","","","England","Blanc de Blancs","England"
"2917","Sangiovese","Robert Renzoni","Temecula Valley","South Coast","California","VIneyard Riserva","US"
"2918","Red Blend","Roth","Sonoma County","Sonoma","California","Heritage","US"
"2919","Red Blend","Seghesio","Alexander Valley","Sonoma","California","San Lorenzo Estate","US"
"2920","Red Blend","The Conqueror","Horse Heaven Hills","Columbia Valley","Washington","","US"
"2921","Sauvignon Blanc","Henri Bourgeois","Pouilly-Fumé","","Loire Valley","La Demoiselle de Bourgeois","France"
"2922","Red Blend","Holly's Hill","El Dorado","Sierra Foothills","California","Patriarche","US"
"2923","Chardonnay","Kathryn Kennedy","Santa Cruz Mountains","Central Coast","California","Twenty-Seven Blanc de Blanc","US"
"2924","Petite Sirah","Keating","Rockpile","Sonoma","California","","US"
"2925","Syrah","Locus","Wahluke Slope","Columbia Valley","Washington","Stonetree Vineyard","US"
"2926","Cabernet Sauvignon","B.R. Cohn","Sonoma Valley","Sonoma","California","Olive Hill Estate Vineyards","US"
"2927","Chardonnay","Bodegas San Valero","Cariñena","","Northern Spain","Particular","Spain"
"2928","Pinot Grigio","Cantina di Bertiolo","Friuli Grave","","Northeastern Italy","Villa Marchesi","Italy"
"2929","Portuguese White","Casa de Vila Nova","","","Vinho Verde","Filipa de Lencastre","Portugal"
"2930","Sauvignon Blanc","Treasure","Napa Valley","Napa","California","","US"
"2931","Zinfandel","Truett Hurst","Dry Creek Valley","Sonoma","California","Red Rooster Old Vine","US"
"2932","Red Blend","Artesana","","","Canelones","Tannat-Merlot-Zinfandel","Uruguay"
"2933","Cabernet Franc","Beaucanon","Napa Valley","Napa","California","Cuvée Louis","US"
"2934","Pinot Noir","Bryx","Willamette Valley","Willamette Valley","Oregon","","US"
"2935","Portuguese Red","Campolargo","","","Bairrada","Valdazar","Portugal"
"2936","Portuguese White","Duorum","","","Douro","Tons de Duorum","Portugal"
"2937","Chardonnay","La Pitchoune","Russian River Valley","Sonoma","California","Chenoweth Vineyard","US"
"2938","Bordeaux-style Red Blend","Lasseter","Sonoma Valley","Sonoma","California","Paysage Estate Grown","US"
"2939","Riesling","Leonard Kreusch","","","Mosel","Piesporter Goldtröpfchen Kabinett","Germany"
"2940","Sauvignon Blanc","Liberated","North Coast","North Coast","California","","US"
"2941","Sparkling Blend","Donnafugata","Sicilia","","Sicily & Sardinia","Brut Metodo Classico","Italy"
"2942","Cabernet Sauvignon","Eagle Ridge","Livermore Valley","Central Coast","California","Private Reserve Estate Grown","US"
"2943","Cabernet Sauvignon","En Garde","Livermore Valley","Central Coast","California","Greenville Summit","US"
"2944","Sparkling Blend","Fontanafredda","Alta Langa","","Piedmont","Extra Brut Metodo Classico","Italy"
"2945","Champagne Blend","Billecart-Salmon","Champagne","","Champagne","Extra Brut","France"
"2946","Pinot Noir","Boizel","Champagne","","Champagne","Blanc de Noirs Brut","France"
"2947","Bordeaux-style Red Blend","Vignobles Carreau Selection","Blaye Côtes de Bordeaux","","Bordeaux","Amiral","France"
"2948","Portuguese White","Casal da Coelheira","","","Tejo","Reserva Branco","Portugal"
"2949","Chardonnay","Le Brun de Neuville","Champagne","","Champagne","Blanc de Blancs Brut","France"
"2950","Port","Quinta das Carvalhas","","","Port","Vintage","Portugal"
"2951","Pinot Noir","Shea","Willamette Valley","Willamette Valley","Oregon","West Hill","US"
"2952","Mourvèdre","Skinner","El Dorado","Sierra Foothills","California","Estate Grown","US"
"2953","Pinot Noir","Chamisal Vineyards","Edna Valley","Central Coast","California","Califa","US"
"2954","Chardonnay","Domaine Divio","Willamette Valley","Willamette Valley","Oregon","","US"
"2955","Cabernet Sauvignon","Gramercy","Columbia Valley (WA)","Columbia Valley","Washington","Reserve","US"
"2956","Champagne Blend","Huré Frères","Champagne","","Champagne","Instantanée Extra Brut","France"
"2957","Cabernet Sauvignon","Michel-Schlumberger","Dry Creek Valley","Sonoma","California","Platinum Collection","US"
"2958","Nerello Mascalese","Pietradolce","Etna","","Sicily & Sardinia","Vigna Barbagalli Pre-Phylloxera Rosso","Italy"
"2959","Chardonnay","José Dhondt","Champagne","","Champagne","Blanc de Blancs Brut","France"
"2960","Pinot Noir","Neyers","Sonoma Coast","Sonoma","California","Roberts Road","US"
"2961","Pinot Noir","Nicholson Ranch","Sonoma Coast","Sonoma","California","Dry Farmed Estate","US"
"2962","Aglianico","Cantine del Notaio","Aglianico del Vulture","","Southern Italy","Il Sigillo","Italy"
"2963","Aglianico","Contrade di Taurasi - Lonardo","Taurasi","","Southern Italy","","Italy"
"2964","Viognier","Cristom","Eola-Amity Hills","Willamette Valley","Oregon","Estate","US"
"2965","Red Blend","Twisted Twig","El Dorado County","Sierra Foothills","California","Sommelier Quality Fifty-Fifty","US"
"2966","Merlot","Claar","Columbia Valley (WA)","Columbia Valley","Washington","Estate Grown and Bottled","US"
"2967","Sparkling Blend","Mumm Napa","Napa County","Napa","California","Blanc de Blancs Reserve","US"
"2968","Pinot Noir","Parker Station","Central Coast","Central Coast","California","","US"
"2969","Cabernet Sauvignon","Sequoia Grove","Napa Valley","Napa","California","","US"
"2970","Merlot","Skyfall","Columbia Valley (WA)","Columbia Valley","Washington","","US"
"2971","Blanc du Bois","Haak","Texas","","Texas","Thomas Jefferson Series Madeira","US"
"2972","Grüner Veltliner","Inspire Moore","Finger Lakes","Finger Lakes","New York","Rhythm","US"
"2973","Provence red blend","Les Vignobles Gueissard","Côtes de Provence","","Provence","Les Papilles","France"
"2974","Pinot Noir","Louis Max","Côtes de Nuits Villages","","Burgundy","","France"
"2975","Pinot Noir","Orogeny","Russian River Valley","Sonoma","California","","US"
"2976","Chardonnay","Paris Valley Road Cellars","Monterey County","Central Coast","California","","US"
"2977","Red Blend","San Cassiano","Amarone della Valpolicella","","Veneto","Riserva","Italy"
"2978","Sauvignon Blanc","Tin Barn","Carneros","Napa-Sonoma","California","Hi Vista Vineyard","US"
"2979","Carmenère","Casas del Bosque","","","Rapel Valley","Reserva","Chile"
"2980","Pinot Noir","Sanford","Central Coast","Central Coast","California","Flor de Campo","US"
"2981","Provence white blend","Commanderie de la Bargemone","Coteaux d'Aix-en-Provence","","Provence","","France"
"2982","Garganega","Le Albare","Soave Classico","","Veneto","Monte Majore","Italy"
"2983","Syrah","LXV","Paso Robles Willow Creek District","Central Coast","California","X Reserve Kiler Canyon Vineyard","US"
"2984","Pinot Noir","Nuiton-Beaunoy","Bourgogne Hautes Côtes de Beaune","","Burgundy","","France"
"2985","Chardonnay","Olsen Private Vineyards","","","Paarl","","South Africa"
"2986","Malbec","Payana","Mendoza","","Mendoza Province","","Argentina"
"2987","Pinot Noir","Pierre Gruber","Bourgogne Hautes Côtes de Nuits","","Burgundy","","France"
"2988","Nosiola","Pisoni","Vigneti delle Dolomiti","","Northeastern Italy","","Italy"
"2989","Portuguese Red","Quinta de Chocapalha","","","Lisboa","Mar de Lisboa","Portugal"
"2990","Chardonnay","Thomas George","Russian River Valley","Sonoma","California","Starr Ridge Vineyard Estate","US"
"2991","Portuguese White","Vicente Faria Vinhos","","","Vinho Verde","Animus Branco","Portugal"
"2992","White Blend","Blanchard & Lurton","Vista Flores","","Mendoza Province","Gran Vin","Argentina"
"2993","Chardonnay","Broadway Vineyards","Carneros","Napa-Sonoma","California","Estate Grown","US"
"2994","Garganega","Corte Adami","Soave","","Veneto","","Italy"
"2995","White Blend","De Stefani","Veneto","","Veneto","Olmèra","Italy"
"2996","Malbec","Enrique Foster","Mendoza","","Mendoza Province","Edicion Limitada","Argentina"
"2997","Chardonnay","Flor De Campo","Santa Barbara County","Central Coast","California","","US"
"2998","Grenache","Hobo","Alexander Valley","Sonoma","California","Sceales Vineyard","US"
"2999","Shiraz","Suhru","North Fork of Long Island","Long Island","New York","","US"
"3000","Riesling","Swiftwater Cellars","Yakima Valley","Columbia Valley","Washington","Olsen Vineyard","US"
"3001","Chardonnay","Te Mata","","","Hawke's Bay","Elston","New Zealand"
"3002","Zinfandel","Peloton","Paso Robles","Central Coast","California","","US"
"3003","Vermentino","Portalupi","Carneros","Napa-Sonoma","California","Las Brisas Vineyard","US"
"3004","Chardonnay","Roche de Bellene","Saint-Aubin","","Burgundy","","France"
"3005","Syrah","Viña Casablanca","","","Casablanca Valley","Nimbus Single Vineyard","Chile"
"3006","Cabernet Sauvignon","Judge Palmer","Rutherford","Napa","California","Beckstoffer Georges III","US"
"3007","Ojaleshi","Kakhetia Traditional Winemaking","","","","Red Naturally Semi-Sweet",""
"3008","Chardonnay","Mirror","Sonoma Coast","Sonoma","California","Sangiacomo Vineyard","US"
"3009","Red Blend","Peltier","Lodi","Central Valley","California","USB","US"
"3010","Cabernet Sauvignon","Robert Karl","Horse Heaven Hills","Columbia Valley","Washington","Gunselman Bench Vineyard","US"
"3011","Godello","Senda Verde","Bierzo","","Northern Spain","","Spain"
"3012","Chardonnay","Shannon Ridge","Lake County","","California","High Elevation Collection","US"
"3013","Sangiovese","TAO","South Coast","","California","Awakening","US"
"3014","Red Blend","The Federalist","California","California Other","California","Honest","US"
"3015","Cabernet Franc","Chaman","Mendoza","","Mendoza Province","","Argentina"
"3016","Barbera","Le Vigne di Ca' Nova","Barbera d'Alba Superiore","","Piedmont","Bric de Maschi","Italy"
"3017","Rosé","Domaine Terre de Mistral","Mediterranée","","France Other","Mireille","France"
"3018","Red Blend","Caracol Serrano","Jumilla","","Levante","","Spain"
"3019","Bordeaux-style Red Blend","Château de la Bouyère","Bordeaux","","Bordeaux","","France"
"3020","Bordeaux-style Red Blend","Château la Croix Saint-Pierre","Blaye Côtes de Bordeaux","","Bordeaux","","France"
"3021","Rosé","Simi","Sonoma County","Sonoma","California","Dry","US"
"3022","Cabernet Sauvignon","Topanga","Napa Valley","Napa","California","Black and White","US"
"3023","Cabernet Sauvignon","Belle Ambiance","California","California Other","California","","US"
"3024","Rosé","Les Maîtres Vignerons de la Presqu'île de Saint-Tropez","Mediterranée","","France Other","Easy","France"
"3025","Bordeaux-style Red Blend","Vin Roc","Napa Valley","Napa","California","RTW","US"
"3026","Colombard","Woodenhead","Russian River Valley","Sonoma","California","Naturale Single Vineyard Sparkling","US"
"3027","Bordeaux-style Red Blend","Château Siffle Merle","Blaye Côtes de Bordeaux","","Bordeaux","Cuvée Prestige","France"
"3028","Pinot Noir","Cosa Obra","Sonoma County","Sonoma","California","","US"
"3029","Melon","Domaine de Beauregard","Muscadet Sèvre et Maine","","Loire Valley","Sur Lie","France"
"3030","Sparkling Blend","Freixenet","Cava","","Catalonia","Cordon Negro Brut","Spain"
"3031","Garnacha Tintorera","Santa Quiteria","Almansa","","Central Spain","BT Bodega Tintoralba","Spain"
"3032","Bordeaux-style Red Blend","Valley of the Moon","Sonoma County","Sonoma","California","Cuvée de la Luna","US"
"3033","Riesling","Pey-Marin","Marin County","North Coast","California","The Shell Mound","US"
"3034","Bordeaux-style Red Blend","Simone","","","Maule Valley","Grand Reserve","Chile"
"3035","Assyrtico","Domaine Costa Lazaridi","","","Drama","Château Julia Assyrtiko","Greece"
"3036","Gewürztraminer","Gundlach Bundschu","Sonoma Valley","Sonoma","California","Estate Vineyard","US"
"3037","Bordeaux-style Red Blend","Château Barreyres","Haut-Médoc","","Bordeaux","","France"
"3038","Corvina, Rondinella, Molinara","Vigneti Villabella","Amarone della Valpolicella Classico","","Veneto","","Italy"
"3039","Corvina, Rondinella, Molinara","Le Ragose","Amarone della Valpolicella Classico","","Veneto","","Italy"
"3040","Corvina, Rondinella, Molinara","Guerrieri Rizzardi","Amarone della Valpolicella Classico","","Veneto","Villa Rizzardi","Italy"
"3041","Syrah","Porta","","","Aconcagua Valley","Gran Reserva","Chile"
"3042","Bordeaux-style White Blend","Château Nairac","Barsac","","Bordeaux","","France"
"3043","Tempranillo Blend","Cosme Palacio y Hermanos","Rioja","","Northern Spain","Reserva","Spain"
"3044","Sauvignon Blanc","Domaine Seguin","Pouilly-Fumé","","Loire Valley","","France"
"3045","Port","Gilberts","","","Port","10-Year-Old Tawny","Portugal"
"3046","Sherry","Lustau","Jerez","","Andalucia","Dry Amontillado Los Arcos","Spain"
"3047","Cabernet Sauvignon","Watershed","Margaret River","","Western Australia","Awakening","Australia"
"3048","Bordeaux-style White Blend","Château Rabaud-Promis","Sauternes","","Bordeaux","","France"
"3049","Pinot Noir","Daedalus Cellars","Willamette Valley","Willamette Valley","Oregon","","US"
"3050","Sherry","Bodegas Dios Baco S.L.","Jerez","","Andalucia","Oloroso","Spain"
"3051","Red Blend","Cantine Barbera","Menfi","","Sicily & Sardinia","Coda della Foce","Italy"
"3052","Viognier","Yangarra Estate Vineyard","McLaren Vale","","South Australia","Single Vineyard","Australia"
"3053","Pinot Noir","Yering Station","Yarra Valley","","Victoria","Reserve","Australia"
"3054","Pedro Ximénez","Alvear","Montilla-Moriles","","Andalucia","Amontillado Carlos VII","Spain"
"3055","Mencía","Avancia","Valdeorras","","Northern Spain","","Spain"
"3056","Pinot Noir","Screen Door Cellars","Russian River Valley","Sonoma","California","","US"
"3057","Sangiovese","Seconda Stella a Destra","Brunello di Montalcino","","Tuscany","","Italy"
"3058","Pinot Gris","Sokol Blosser","Willamette Valley","Willamette Valley","Oregon","","US"
"3059","Pinot Noir","Soléna","Dundee Hills","Willamette Valley","Oregon","Prince Hill Vineyard","US"
"3060","Chardonnay","Sonoma-Cutrer","Sonoma Coast","Sonoma","California","","US"
"3061","Pinot Noir","Talisman","Sonoma Coast","Sonoma","California","Huckleberry's Vineyard","US"
"3062","Red Blend","Tinto Rey","Dunnigan Hills","Central Valley","California","Super Tinto","US"
"3063","Cabernet Sauvignon","Wild Hogge","Paso Robles","Central Coast","California","","US"
"3064","Auxerrois","Zenith","Eola-Amity Hills","Willamette Valley","Oregon","","US"
"3065","Red Blend","Bindella","Vino Nobile di Montepulciano","","Tuscany","","Italy"
"3066","Sauvignon Blanc","Cannonball","Sonoma County","Sonoma","California","","US"
"3067","Red Blend","Bosque De Matasnos","Ribera del Duero","","Northern Spain","","Spain"
"3068","Red Blend","Cantina del Giusto","Vino Nobile di Montepulciano","","Tuscany","Baradiero","Italy"
"3069","Bordeaux-style Red Blend","Château Ducluzeau","Listrac-Médoc","","Bordeaux","","France"
"3070","Bordeaux-style Red Blend","Château La Clare","Médoc","","Bordeaux","","France"
"3071","Bordeaux-style Red Blend","Château la Vieille Cure","Fronsac","","Bordeaux","","France"
"3072","Bordeaux-style Red Blend","Château Lestruelle","Médoc","","Bordeaux","","France"
"3073","Bordeaux-style Red Blend","Château Monbousquet","Saint-Émilion","","Bordeaux","","France"
"3074","Portuguese Red","Sogevinus","","","Douro","D + D","Portugal"
"3075","Chardonnay","Roger Lassarat","Pouilly-Fuissé","","Burgundy","Clos de France","France"
"3076","Red Blend","Russiz Superiore","Collio","","Northeastern Italy","Rosso Riserva degli Orzoni","Italy"
"3077","Pinot Noir","Bodega Chacra","Río Negro Valley","","Other","Cincuenta y Cinco","Argentina"
"3078","Chardonnay","Bret Brothers","Saint-Véran","","Burgundy","Domaine la Soufrandière Climat les Quarts","France"
"3079","Red Blend","Ca' de Calle","Mendoza","","Mendoza Province","Reserva","Argentina"
"3080","Chardonnay","Collovray et Terrier","Saint-Véran","","Burgundy","Domaine des Deux Roches Rives de Longsault","France"
"3081","Chardonnay","Domaine Michel Bouzereau","Meursault","","Burgundy","Le Limosin","France"
"3082","Sauvignon Blanc","Girard","Napa Valley","Napa","California","","US"
"3083","Bordeaux-style Red Blend","Mark Ryan","Red Mountain","Columbia Valley","Washington","Water Witch Klipsun Vineyard Red Wine","US"
"3084","Pinot Noir","Bernardus","Carmel Valley","Central Coast","California","Ingrid's Vineyard","US"
"3085","Chardonnay","Daniel Barraud","Pouilly-Fuissé","","Burgundy","Alliance","France"
"3086","Tempranillo Blend","Dinastía Vivanco","Rioja","","Northern Spain","Colección Vivanco 4 Varietales","Spain"
"3087","Chardonnay","Domaine des Comtes Lafon","Mâcon-Villages","","Burgundy","Mâcon Milly-Lamartine Clos du Four","France"
"3088","Red Blend","Gordon Brothers","Columbia Valley (WA)","Columbia Valley","Washington","Tradition","US"
"3089","Syrah","Grand Rêve","Red Mountain","Columbia Valley","Washington","Collaboration Series III Ciel du Cheval Vineyard Red Wine","US"
"3090","Gamay","Domaine Bertrand","Brouilly","","Beaujolais","Vuril","France"
"3091","Chardonnay","Domaine Carrette","Mâcon-Milly Lamartine","","Burgundy","","France"
"3092","Pinot Noir","Domaine Jessiaume","Santenay","","Burgundy","Les Gravières Premier Cru","France"
"3093","Chardonnay","Domaine Pascal et Mireille Renaud","Saint-Véran","","Burgundy","","France"
"3094","Carmenère","Drink Washington State","Walla Walla Valley (WA)","Columbia Valley","Washington","Enjoy Walla Walla","US"
"3095","Pinot Noir","Francis Ford Coppola","Anderson Valley","","California","Votre Santé Cuvée de Patron","US"
"3096","Nebbiolo","La Spinona","Barbaresco","","Piedmont","Bricco Faset Riserva","Italy"
"3097","Viognier","McKahn","Russian River Valley","Sonoma","California","","US"
"3098","Chardonnay","Meurgey-Croses","Pouilly-Fuissé","","Burgundy","Vieilles Vignes","France"
"3099","Riesling","Pacific Rim","Horse Heaven Hills","Columbia Valley","Washington","Wallula Vineyard","US"
"3100","Chardonnay","Rijckaert","Saint-Véran","","Burgundy","","France"
"3101","Barbera","Vite Colte","Barbera d'Asti","","Piedmont","Rossofuoco","Italy"
"3102","Cabernet Sauvignon","Woodward Canyon","Walla Walla Valley (WA)","Columbia Valley","Washington","Estate","US"
"3103","Moscatel","Jorge Ordóñez & Co.","","","Andalucia","Botani Old Vines","Spain"
"3104","Pinot Noir","Kitá","Sta. Rita Hills","Central Coast","California","Hilliard Bruce Vineyard","US"
"3105","Petite Sirah","Le Casque","Sierra Foothills","Sierra Foothills","California","","US"
"3106","Tempranillo","Luis Cañas","Rioja","","Northern Spain","Crianza","Spain"
"3107","Nebbiolo","Adriano Marco & Vittorio","Barbaresco","","Piedmont","Basarin Riserva","Italy"
"3108","Bordeaux-style Red Blend","Black Ridge","Santa Cruz Mountains","Central Coast","California","San Andreas","US"
"3109","Nebbiolo","Cantina del Pino","Barbaresco","","Piedmont","Gallina","Italy"
"3110","Gamay","Château de Chénas","Chénas","","Beaujolais","","France"
"3111","Provence white blend","Château d'Ollières","Coteaux Varois en Provence","","Provence","Prestige","France"
"3112","Nebbiolo","Dante Rivetti","Barbaresco","","Piedmont","Bric' Micca","Italy"
"3113","Chardonnay","Domaine Pierre Guillemot","Savigny-lès-Beaune","","Burgundy","Dessus des Golardes","France"
"3114","Gamay","Florent Descombe","Chénas","","Beaujolais","","France"
"3115","Syrah-Merlot","Gillmore","","","Loncomilla Valley","Mariposa Estate Old Vines Dry Farmed","Chile"
"3116","Albana","Giovanna Madonia","Romagna","","Central Italy","Neblina","Italy"
"3117","Rhône-style White Blend","Cairdeas","Columbia Valley (WA)","Columbia Valley","Washington","Nellie Mae","US"
"3118","Tempranillo","RoxyAnn","Rogue Valley","Southern Oregon","Oregon","","US"
"3119","Red Blend","Straccali","Chianti","","Tuscany","","Italy"
"3120","Syrah","Les Vins de Vienne","Saint-Joseph","","Rhône Valley","","France"
"3121","Tempranillo","Señorio de Uñuela","Rioja","","Northern Spain","","Spain"
"3122","Rosé","Adega de Monção","","","Vinho Verde","Muralhas de Monção","Portugal"
"3123","White Blend","Château Routas","Vin de Pays Var","","Provence","","France"
"3124","Sauvignon Blanc","Clos du Lac","Amador County","Sierra Foothills","California","","US"
"3125","Red Blend","Eleanor","California","California Other","California","","US"
"3126","Red Blend","Ferré I Catasús","Priorat","","Catalonia","Terra de Fic 1","Spain"
"3127","Cabernet Sauvignon","Vigilance","Red Hills Lake County","","California","","US"
"3128","Cabernet Sauvignon","Riboli","Rutherford","Napa","California","","US"
"3129","Cabernet Sauvignon","Rigg Estate Vineyards","Livermore Valley","Central Coast","California","Reserve","US"
"3130","Sauvignon Blanc","Robledo","Lake County","","California","Seven Brothers","US"
"3131","Cabernet Sauvignon","Corliss Estates","Columbia Valley (WA)","Columbia Valley","Washington","","US"
